image_id,antelope,bat,beaver,bobcat,buffalo,chihuahua,chimpanzee,collie,dalmatian,german+shepherd,grizzly+bear,hippopotamus,horse,killer+whale,mole,moose,mouse,otter,ox,persian+cat,raccoon,rat,rhinoceros,seal,siamese+cat,spider+monkey,squirrel,walrus,weasel,wolf
Img-1.jpg,5.72E-08,7.80E-09,4.67E-09,2.30E-07,0.999988556,2.94E-09,9.34E-10,2.26E-09,2.72E-09,1.94E-08,1.07E-07,3.36E-08,1.85E-07,1.11E-08,1.59E-08,1.45E-07,9.78E-10,2.15E-07,2.67E-06,2.58E-09,2.17E-09,4.55E-10,7.84E-06,6.10E-09,3.53E-09,2.17E-09,2.86E-09,6.07E-09,3.44E-09,1.04E-09
Img-2.jpg,8.28E-06,1.38E-05,3.86E-06,0.002240071,4.87E-06,0.000111424,1.74E-06,3.20E-05,2.64E-06,0.000342602,4.12E-05,0.000191096,2.86E-06,6.18E-05,2.07E-05,9.97E-07,2.48E-05,1.73E-05,4.63E-07,0.099417672,0.002243894,0.000481112,0.000382057,0.000357946,0.893569052,4.49E-06,0.000319219,5.21E-05,4.20E-05,7.63E-06
Img-3.jpg,1.58E-05,1.61E-05,2.55E-06,5.61E-06,0.000576531,2.81E-07,4.75E-07,2.18E-07,1.26E-06,8.59E-08,2.67E-07,9.24E-05,3.66E-05,3.56E-07,1.44E-07,0.003612214,3.69E-06,1.54E-07,1.81E-06,1.39E-06,5.80E-07,1.44E-06,0.995626509,4.34E-07,5.17E-07,1.55E-08,3.41E-07,6.22E-07,8.71E-08,1.19E-06
Img-4.jpg,9.08E-08,1.29E-05,5.41E-06,4.79E-06,2.22E-06,0.000124104,2.19E-06,9.26E-06,1.06E-06,1.25E-05,1.42E-06,5.82E-08,1.20E-07,5.56E-07,1.88E-06,1.76E-07,0.000119706,9.18E-06,1.12E-07,3.95E-05,0.999128699,0.000164125,2.84E-07,2.21E-07,6.26E-05,8.73E-06,5.82E-05,2.34E-08,0.000224883,5.31E-06
Img-5.jpg,2.88E-07,0.002049658,2.72E-06,2.64E-07,2.25E-07,0.000737406,4.96E-06,8.68E-06,6.58E-07,4.62E-06,7.06E-06,5.46E-06,3.21E-07,7.07E-06,0.581761539,1.37E-07,0.0043919,1.74E-06,5.61E-07,1.25E-06,6.56E-05,0.410293519,3.66E-07,1.44E-06,5.08E-07,2.60E-06,1.01E-05,6.99E-06,0.000632148,3.45E-07
Img-6.jpg,3.29E-12,3.11E-11,8.71E-11,1.42E-09,2.65E-11,4.99E-12,5.89E-12,2.37E-12,4.61E-10,1.25E-13,1.64E-10,1.57E-09,6.95E-15,8.55E-10,1.31E-09,3.43E-12,3.51E-11,1.05E-06,3.29E-11,3.61E-12,3.08E-11,5.01E-10,3.19E-11,0.999980927,1.54E-12,1.67E-12,4.23E-11,1.83E-05,1.03E-10,2.70E-11
Img-7.jpg,0.000382434,1.83E-07,3.32E-06,4.56E-07,1.38E-06,2.41E-07,1.56E-07,4.02E-07,4.87E-07,3.81E-06,1.15E-06,6.76E-08,3.82E-05,7.52E-08,1.56E-08,0.999552846,2.18E-08,1.79E-06,6.03E-06,1.70E-08,6.38E-08,1.64E-07,3.66E-06,6.40E-08,1.40E-07,2.14E-08,1.93E-08,9.24E-08,2.91E-08,2.97E-06
Img-8.jpg,1.54E-05,1.29E-07,4.08E-07,1.19E-07,4.31E-07,2.53E-08,2.61E-07,2.16E-07,3.61E-07,1.19E-05,2.56E-07,1.75E-06,0.999862671,1.19E-07,1.77E-08,2.15E-06,9.34E-09,4.27E-08,1.75E-05,2.32E-07,1.04E-08,9.12E-09,8.24E-05,4.87E-07,4.80E-07,3.27E-07,9.03E-08,4.98E-07,3.27E-07,1.06E-06
Img-9.jpg,3.48E-10,1.64E-08,8.12E-10,2.90E-09,0.999992371,3.31E-12,9.36E-10,1.87E-11,6.72E-12,7.05E-11,7.92E-10,6.31E-10,1.01E-09,2.25E-10,1.50E-08,8.51E-09,7.44E-10,3.44E-10,7.32E-06,1.18E-09,3.75E-10,4.68E-11,3.88E-09,2.99E-11,2.33E-11,5.93E-10,4.89E-10,2.03E-10,1.91E-11,2.49E-11
Img-10.jpg,1.00E-07,7.80E-09,1.32E-07,5.06E-07,1.66E-08,3.93E-06,3.42E-07,2.14E-06,0.999982834,2.44E-07,3.21E-08,4.16E-07,9.37E-08,2.17E-07,5.17E-07,6.58E-08,3.47E-06,4.34E-08,8.14E-08,5.70E-07,2.83E-08,5.80E-07,1.73E-06,7.86E-07,2.73E-07,7.03E-08,4.52E-08,1.40E-07,4.99E-07,6.60E-08
Img-11.jpg,0.000217847,1.04E-07,6.53E-06,3.46E-07,0.031522244,6.66E-06,4.35E-07,2.08E-05,4.12E-05,8.07E-06,1.16E-06,1.26E-05,0.000100818,1.11E-06,6.13E-07,0.000477861,4.06E-06,8.23E-06,0.967415869,5.44E-07,7.20E-08,1.46E-05,0.000130492,1.37E-06,3.15E-06,1.49E-06,1.12E-07,5.30E-07,1.22E-06,6.86E-08
Img-12.jpg,5.08E-09,4.08E-07,7.58E-09,1.92E-07,4.24E-08,2.96E-06,3.05E-08,2.22E-06,6.46E-09,6.06E-07,4.51E-08,2.41E-08,1.25E-08,5.13E-08,1.36E-08,3.27E-09,1.93E-08,4.18E-09,1.66E-07,0.999435604,6.51E-08,5.99E-08,1.08E-07,1.38E-09,0.000557758,9.75E-08,4.24E-08,7.18E-08,4.03E-08,6.42E-08
Img-13.jpg,0.999728262,2.91E-06,9.09E-08,7.52E-06,6.15E-06,1.30E-06,4.25E-08,6.42E-05,3.67E-06,9.93E-05,2.62E-07,1.97E-06,3.41E-05,2.01E-06,4.58E-07,9.23E-06,1.08E-06,3.66E-08,6.02E-07,6.46E-08,3.28E-07,3.88E-06,1.07E-06,7.08E-08,3.04E-06,2.32E-07,1.65E-06,4.60E-07,2.00E-05,5.77E-06
Img-14.jpg,1.00E-08,6.56E-09,7.34E-08,6.01E-09,4.57E-08,5.47E-08,2.89E-09,1.17E-07,1.09E-07,1.19E-07,4.65E-07,1.32E-06,5.02E-08,4.72E-06,2.41E-07,7.04E-09,3.72E-08,3.45E-06,8.95E-08,4.55E-08,2.59E-08,1.73E-08,2.36E-07,0.998114467,1.88E-08,1.68E-08,1.79E-08,0.00187427,4.25E-08,4.07E-08
